time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.throttle_pedal
2024/05/14/15:11:17.458949,59059,1715713877,452677378,,0.0
2024/05/14/15:11:17.462981,59060,1715713877,462667969,,0.0
2024/05/14/15:11:17.473096,59061,1715713877,472723368,,0.0
2024/05/14/15:11:17.483100,59062,1715713877,482692566,,0.0
2024/05/14/15:11:17.493338,59063,1715713877,492746673,,0.0
2024/05/14/15:11:17.503143,59064,1715713877,502730314,,0.0
2024/05/14/15:11:17.513194,59065,1715713877,512705516,,0.0
2024/05/14/15:11:17.523196,59066,1715713877,522730681,,0.0
2024/05/14/15:11:17.533353,59067,1715713877,532736301,,0.0
2024/05/14/15:11:17.543180,59068,1715713877,542730754,,0.0
2024/05/14/15:11:17.553294,59069,1715713877,552751979,,0.0
2024/05/14/15:11:17.563251,59070,1715713877,562691482,,0.0
2024/05/14/15:11:17.574187,59071,1715713877,572704273,,0.0
2024/05/14/15:11:17.583165,59072,1715713877,582692725,,0.0
2024/05/14/15:11:17.593269,59073,1715713877,592713617,,0.0
2024/05/14/15:11:17.603128,59074,1715713877,602711326,,0.0
2024/05/14/15:11:17.614889,59075,1715713877,612742255,,0.0
2024/05/14/15:11:17.623203,59076,1715713877,622715897,,0.0
2024/05/14/15:11:17.634788,59077,1715713877,632716919,,0.0
2024/05/14/15:11:17.647871,59078,1715713877,642720982,,0.0
2024/05/14/15:11:17.655076,59079,1715713877,652725130,,0.0
2024/05/14/15:11:17.663252,59080,1715713877,662747162,,0.0
2024/05/14/15:11:17.686182,59081,1715713877,672728858,,0.0
2024/05/14/15:11:17.686186,59082,1715713877,682719185,,0.0
2024/05/14/15:11:17.693422,59083,1715713877,692765804,,0.0
2024/05/14/15:11:17.704405,59084,1715713877,702761416,,0.0
2024/05/14/15:11:17.713331,59085,1715713877,712758948,,0.0
2024/05/14/15:11:17.727583,59086,1715713877,722747606,,0.0
2024/05/14/15:11:17.734952,59087,1715713877,734351263,,0.0
2024/05/14/15:11:17.743125,59088,1715713877,742728952,,0.0
2024/05/14/15:11:17.753295,59089,1715713877,752765707,,0.0
2024/05/14/15:11:17.763246,59090,1715713877,762788607,,0.0
2024/05/14/15:11:17.773233,59091,1715713877,772758360,,0.0
2024/05/14/15:11:17.783262,59092,1715713877,782787256,,0.0
2024/05/14/15:11:17.793361,59093,1715713877,792753583,,0.0
