time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2024/05/14/15:47:20.653874,136819,1715716040,653472308,base_link,-9.739341674205643e-06,0.0,0.0,0.0,0.0,1.5544347555363875e-09
2024/05/14/15:47:20.673249,136820,1715716040,673005252,base_link,2.565093160746947e-06,0.0,0.0,0.0,0.0,5.294442511290275e-09
2024/05/14/15:47:20.693470,136821,1715716040,693284953,base_link,1.0831245313302588e-05,0.0,0.0,0.0,0.0,7.544051046935162e-09
2024/05/14/15:47:20.713825,136822,1715716040,713454306,base_link,1.3560702165979849e-05,0.0,0.0,0.0,0.0,2.6985733091113476e-09
2024/05/14/15:47:20.733707,136823,1715716040,733240589,base_link,1.4759822382186315e-05,0.0,0.0,0.0,0.0,1.987553861460203e-09
2024/05/14/15:47:20.753941,136824,1715716040,753650855,base_link,-5.8744265426840045e-06,0.0,0.0,0.0,0.0,-9.086997973441752e-09
2024/05/14/15:47:20.773987,136825,1715716040,773710419,base_link,-1.885251775547367e-05,0.0,0.0,0.0,0.0,-1.4836435861765392e-08
2024/05/14/15:47:20.793843,136826,1715716040,793621826,base_link,-2.735881921132038e-05,0.0,0.0,0.0,0.0,-1.826106222701723e-08
2024/05/14/15:47:20.814114,136827,1715716040,813727374,base_link,-2.708675110342914e-05,0.0,0.0,0.0,0.0,-6.128874705161567e-09
2024/05/14/15:47:20.834015,136828,1715716040,833632278,base_link,-2.6472716653590905e-05,0.0,0.0,0.0,0.0,-4.35557990921415e-09
2024/05/14/15:47:20.856894,136829,1715716040,853389369,base_link,-3.352713498126626e-05,0.0,0.0,0.0,0.0,-1.9185592982221675e-08
2024/05/14/15:47:20.878344,136830,1715716040,873296070,base_link,-3.7550279115236415e-05,0.0,0.0,0.0,0.0,-2.6840599487023818e-08
2024/05/14/15:47:20.893247,136831,1715716040,892920370,base_link,-3.98435719929241e-05,0.0,0.0,0.0,0.0,-3.136456474323585e-08
2024/05/14/15:47:20.913542,136832,1715716040,912997634,base_link,-3.3650230280170276e-05,0.0,0.0,0.0,0.0,-1.0255701644766075e-08
2024/05/14/15:47:20.934194,136833,1715716040,933803932,base_link,-2.984547850293838e-05,0.0,0.0,0.0,0.0,-7.174850368068416e-09
2024/05/14/15:47:20.961416,136834,1715716040,954551397,base_link,-1.0860593573960282e-05,0.0,0.0,0.0,0.0,8.798600701934231e-09
2024/05/14/15:47:20.973957,136835,1715716040,973597873,base_link,1.3191723087941683e-06,0.0,0.0,0.0,0.0,1.71177798607758e-08
2024/05/14/15:47:20.994070,136836,1715716040,993786284,base_link,9.501931801538118e-06,0.0,0.0,0.0,0.0,2.2094484654367013e-08
2024/05/14/15:47:21.013884,136837,1715716041,13605986,base_link,1.2426035168873032e-05,0.0,0.0,0.0,0.0,7.581634811352793e-09
2024/05/14/15:47:21.033391,136838,1715716041,33095265,base_link,1.3740735979223726e-05,0.0,0.0,0.0,0.0,5.457540390008584e-09
2024/05/14/15:47:21.054725,136839,1715716041,54371051,base_link,-1.9695592727319748e-06,0.0,0.0,0.0,0.0,-1.2911011751737147e-09
2024/05/14/15:47:21.073879,136840,1715716041,73557896,base_link,-1.1944004319016173e-05,0.0,0.0,0.0,0.0,-4.820999771909445e-09
2024/05/14/15:47:21.094114,136841,1715716041,93708690,base_link,-1.85602105139703e-05,0.0,0.0,0.0,0.0,-6.944862460603674e-09
2024/05/14/15:47:21.113999,136842,1715716041,113635389,base_link,-1.8897044033844014e-05,0.0,0.0,0.0,0.0,-2.494741691787142e-09
2024/05/14/15:47:21.133209,136843,1715716041,132933390,base_link,-1.876950496735291e-05,0.0,0.0,0.0,0.0,-1.841522851707099e-09
2024/05/14/15:47:21.159747,136844,1715716041,154329319,base_link,-6.230083667592518e-07,0.0,0.0,0.0,0.0,3.339978572816846e-09
2024/05/14/15:47:21.173811,136845,1715716041,173483182,base_link,1.0832736453231684e-05,0.0,0.0,0.0,0.0,6.0354156438960904e-09
2024/05/14/15:47:21.193877,136846,1715716041,193561258,base_link,1.8377978269035773e-05,0.0,0.0,0.0,0.0,7.645338840617331e-09
2024/05/14/15:47:21.213856,136847,1715716041,213559095,base_link,1.9229651568253173e-05,0.0,0.0,0.0,0.0,2.60106626663782e-09
2024/05/14/15:47:21.233702,136848,1715716041,233406709,base_link,1.932420402545522e-05,0.0,0.0,0.0,0.0,1.863157506086675e-09
2024/05/14/15:47:21.254899,136849,1715716041,254386462,base_link,2.3332024538005206e-05,0.0,0.0,0.0,0.0,3.305359692038147e-09
2024/05/14/15:47:21.273273,136850,1715716041,273018809,base_link,2.5520394076889217e-05,0.0,0.0,0.0,0.0,4.0407009399117344e-09
2024/05/14/15:47:21.293361,136851,1715716041,293038616,base_link,2.6679169118199828e-05,0.0,0.0,0.0,0.0,4.4678671751235975e-09
2024/05/14/15:47:21.313167,136852,1715716041,312914659,base_link,2.2292917391973198e-05,0.0,0.0,0.0,0.0,1.4175476791390985e-09
2024/05/14/15:47:21.333232,136853,1715716041,333026512,base_link,1.9608236976286206e-05,0.0,0.0,0.0,0.0,9.730598368226974e-10
2024/05/14/15:47:21.353889,136854,1715716041,353522034,base_link,-8.395756056154293e-06,0.0,0.0,0.0,0.0,-1.966940905288632e-08
2024/05/14/15:47:21.373358,136855,1715716041,373100389,base_link,-2.5960434907815235e-05,0.0,0.0,0.0,0.0,-3.036745033964726e-08
2024/05/14/15:47:21.393227,136856,1715716041,392988413,base_link,-3.7435205539189946e-05,0.0,0.0,0.0,0.0,-3.672463826980751e-08
2024/05/14/15:47:21.413332,136857,1715716041,413024557,base_link,-3.694730310570291e-05,0.0,0.0,0.0,0.0,-1.2219659798181533e-08
2024/05/14/15:47:21.433237,136858,1715716041,432936825,base_link,-3.603412928155816e-05,0.0,0.0,0.0,0.0,-8.63952146453387e-09
2024/05/14/15:47:21.454335,136859,1715716041,453769646,base_link,-2.7686018612684574e-05,0.0,0.0,0.0,0.0,-4.316723550322081e-09
2024/05/14/15:47:21.473437,136860,1715716041,473115679,base_link,-2.196867184660419e-05,0.0,0.0,0.0,0.0,-2.0235566057504005e-09
2024/05/14/15:47:21.493232,136861,1715716041,492975434,base_link,-1.7833137958269873e-05,0.0,0.0,0.0,0.0,-6.179999540885202e-10
2024/05/14/15:47:21.513248,136862,1715716041,512958032,base_link,-1.2054948184051803e-05,0.0,0.0,0.0,0.0,9.614785976876172e-11
2024/05/14/15:47:21.533282,136863,1715716041,532965377,base_link,-8.811193005609608e-06,0.0,0.0,0.0,0.0,1.9542718695014926e-10
2024/05/14/15:47:21.554194,136864,1715716041,553693550,base_link,1.8944492881038497e-05,0.0,0.0,0.0,0.0,1.736798446829765e-08
2024/05/14/15:47:21.573329,136865,1715716041,572997721,base_link,3.6196019982048944e-05,0.0,0.0,0.0,0.0,2.6261169654939246e-08
2024/05/14/15:47:21.593288,136866,1715716041,593032323,base_link,4.733531704099417e-05,0.0,0.0,0.0,0.0,3.154053056494332e-08
2024/05/14/15:47:21.613303,136867,1715716041,613007049,base_link,4.47788023349454e-05,0.0,0.0,0.0,0.0,1.0458664441217543e-08
2024/05/14/15:47:21.633372,136868,1715716041,633057688,base_link,4.264696643475464e-05,0.0,0.0,0.0,0.0,7.37921510492094e-09
2024/05/14/15:47:21.653582,136869,1715716041,653223904,base_link,3.667376838528585e-05,0.0,0.0,0.0,0.0,7.687848541207245e-09
