time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/05/14/15:47:20.633008,137824,1715716040,632090102,gps,0,0,34.81514466587515,-82.32673364581653,281.8527926625684,"(0.9708421744426552, 0.0, 0.0, 0.0, 2.444763144627359, 0.0, 0.0, 0.0, 5.525834863425416)",2
2024/05/14/15:47:20.654387,137825,1715716040,654299983,gps,0,0,34.81514466587515,-82.32673364581653,281.8527926625684,"(0.9708421744426552, 0.0, 0.0, 0.0, 2.444763144627359, 0.0, 0.0, 0.0, 5.525834863425416)",2
2024/05/14/15:47:20.665260,137826,1715716040,665105524,gps,0,0,34.81514507659221,-82.32673373509908,281.85571363568306,"(0.9709733800097098, 0.0, 0.0, 0.0, 2.4464126238317476, 0.0, 0.0, 0.0, 5.525375301681379)",2
2024/05/14/15:47:20.686071,137827,1715716040,685893296,gps,0,0,34.81514507659221,-82.32673373509908,281.85571363568306,"(0.9709733800097098, 0.0, 0.0, 0.0, 2.4464126238317476, 0.0, 0.0, 0.0, 5.525375301681379)",2
2024/05/14/15:47:20.705224,137828,1715716040,705135132,gps,0,0,34.81514507659221,-82.32673373509908,281.85571363568306,"(0.9709733800097098, 0.0, 0.0, 0.0, 2.4464126238317476, 0.0, 0.0, 0.0, 5.525375301681379)",2
2024/05/14/15:47:20.726441,137829,1715716040,726334794,gps,0,0,34.81514507659221,-82.32673373509908,281.85571363568306,"(0.9709733800097098, 0.0, 0.0, 0.0, 2.4464126238317476, 0.0, 0.0, 0.0, 5.525375301681379)",2
2024/05/14/15:47:20.749654,137830,1715716040,749541549,gps,0,0,34.81514507659221,-82.32673373509908,281.85571363568306,"(0.9709733800097098, 0.0, 0.0, 0.0, 2.4464126238317476, 0.0, 0.0, 0.0, 5.525375301681379)",2
2024/05/14/15:47:20.766455,137831,1715716040,766367951,gps,0,0,34.81514517484429,-82.32673379579835,281.8554996168241,"(0.9711478254893713, 0.0, 0.0, 0.0, 2.452242824376313, 0.0, 0.0, 0.0, 5.524006817590873)",2
2024/05/14/15:47:20.785183,137832,1715716040,785054665,gps,0,0,34.81514517484429,-82.32673379579835,281.8554996168241,"(0.9711478254893713, 0.0, 0.0, 0.0, 2.452242824376313, 0.0, 0.0, 0.0, 5.524006817590873)",2
2024/05/14/15:47:20.806369,137833,1715716040,805885576,gps,0,0,34.81514517484429,-82.32673379579835,281.8554996168241,"(0.9711478254893713, 0.0, 0.0, 0.0, 2.452242824376313, 0.0, 0.0, 0.0, 5.524006817590873)",2
2024/05/14/15:47:20.825437,137834,1715716040,825301028,gps,0,0,34.81514517484429,-82.32673379579835,281.8554996168241,"(0.9711478254893713, 0.0, 0.0, 0.0, 2.452242824376313, 0.0, 0.0, 0.0, 5.524006817590873)",2
2024/05/14/15:47:20.887653,137835,1715716040,885974806,gps,0,0,34.81514517484429,-82.32673379579835,281.8554996168241,"(0.9711478254893713, 0.0, 0.0, 0.0, 2.452242824376313, 0.0, 0.0, 0.0, 5.524006817590873)",2
2024/05/14/15:47:20.900628,137836,1715716040,900513529,gps,0,0,34.81514517186935,-82.32673380046386,281.849717579782,"(0.971712031866506, 0.0, 0.0, 0.0, 2.4559819042881372, 0.0, 0.0, 0.0, 5.544574331363265)",2
2024/05/14/15:47:20.905746,137837,1715716040,905563005,gps,0,0,34.81514517186935,-82.32673380046386,281.849717579782,"(0.971712031866506, 0.0, 0.0, 0.0, 2.4559819042881372, 0.0, 0.0, 0.0, 5.544574331363265)",2
2024/05/14/15:47:20.915501,137838,1715716040,915382535,gps,0,0,34.81514517186935,-82.32673380046386,281.849717579782,"(0.971712031866506, 0.0, 0.0, 0.0, 2.4559819042881372, 0.0, 0.0, 0.0, 5.544574331363265)",2
2024/05/14/15:47:20.927508,137839,1715716040,927410313,gps,0,0,34.81514517186935,-82.32673380046386,281.849717579782,"(0.971712031866506, 0.0, 0.0, 0.0, 2.4559819042881372, 0.0, 0.0, 0.0, 5.544574331363265)",2
2024/05/14/15:47:20.947171,137840,1715716040,947079842,gps,0,0,34.81514517186935,-82.32673380046386,281.849717579782,"(0.971712031866506, 0.0, 0.0, 0.0, 2.4559819042881372, 0.0, 0.0, 0.0, 5.544574331363265)",2
2024/05/14/15:47:20.968162,137841,1715716040,967354412,gps,0,0,34.815144933824904,-82.32673370069071,281.84056766796857,"(0.9712707102967535, 0.0, 0.0, 0.0, 2.4462112561488993, 0.0, 0.0, 0.0, 5.543021601279236)",2
2024/05/14/15:47:20.984796,137842,1715716040,984613056,gps,0,0,34.815144933824904,-82.32673370069071,281.84056766796857,"(0.9712707102967535, 0.0, 0.0, 0.0, 2.4462112561488993, 0.0, 0.0, 0.0, 5.543021601279236)",2
2024/05/14/15:47:21.008304,137843,1715716041,8204618,gps,0,0,34.815144933824904,-82.32673370069071,281.84056766796857,"(0.9712707102967535, 0.0, 0.0, 0.0, 2.4462112561488993, 0.0, 0.0, 0.0, 5.543021601279236)",2
2024/05/14/15:47:21.028377,137844,1715716041,28225903,gps,0,0,34.815144933824904,-82.32673370069071,281.84056766796857,"(0.9712707102967535, 0.0, 0.0, 0.0, 2.4462112561488993, 0.0, 0.0, 0.0, 5.543021601279236)",2
2024/05/14/15:47:21.055817,137845,1715716041,55633135,gps,0,0,34.815144933824904,-82.32673370069071,281.84056766796857,"(0.9712707102967535, 0.0, 0.0, 0.0, 2.4462112561488993, 0.0, 0.0, 0.0, 5.543021601279236)",2
2024/05/14/15:47:21.067982,137846,1715716041,67819696,gps,0,0,34.81514480797038,-82.32673366609932,281.8435698132962,"(0.9710358731547473, 0.0, 0.0, 0.0, 2.439575985502472, 0.0, 0.0, 0.0, 5.54245018847746)",2
2024/05/14/15:47:21.085761,137847,1715716041,85584006,gps,0,0,34.81514480797038,-82.32673366609932,281.8435698132962,"(0.9710358731547473, 0.0, 0.0, 0.0, 2.439575985502472, 0.0, 0.0, 0.0, 5.54245018847746)",2
2024/05/14/15:47:21.105691,137848,1715716041,105510881,gps,0,0,34.81514480797038,-82.32673366609932,281.8435698132962,"(0.9710358731547473, 0.0, 0.0, 0.0, 2.439575985502472, 0.0, 0.0, 0.0, 5.54245018847746)",2
2024/05/14/15:47:21.126620,137849,1715716041,126498269,gps,0,0,34.81514480797038,-82.32673366609932,281.8435698132962,"(0.9710358731547473, 0.0, 0.0, 0.0, 2.439575985502472, 0.0, 0.0, 0.0, 5.54245018847746)",2
2024/05/14/15:47:21.149499,137850,1715716041,149321108,gps,0,0,34.81514480797038,-82.32673366609932,281.8435698132962,"(0.9710358731547473, 0.0, 0.0, 0.0, 2.439575985502472, 0.0, 0.0, 0.0, 5.54245018847746)",2
2024/05/14/15:47:21.166766,137851,1715716041,166599420,gps,0,0,34.815144759831,-82.32673365475924,281.84689158480614,"(0.9718734988243263, 0.0, 0.0, 0.0, 2.444179398085055, 0.0, 0.0, 0.0, 5.571633171967733)",2
2024/05/14/15:47:21.185179,137852,1715716041,184927526,gps,0,0,34.815144759831,-82.32673365475924,281.84689158480614,"(0.9718734988243263, 0.0, 0.0, 0.0, 2.444179398085055, 0.0, 0.0, 0.0, 5.571633171967733)",2
2024/05/14/15:47:21.205391,137853,1715716041,205224907,gps,0,0,34.815144759831,-82.32673365475924,281.84689158480614,"(0.9718734988243263, 0.0, 0.0, 0.0, 2.444179398085055, 0.0, 0.0, 0.0, 5.571633171967733)",2
2024/05/14/15:47:21.233973,137854,1715716041,233702178,gps,0,0,34.815144759831,-82.32673365475924,281.84689158480614,"(0.9718734988243263, 0.0, 0.0, 0.0, 2.444179398085055, 0.0, 0.0, 0.0, 5.571633171967733)",2
2024/05/14/15:47:21.255273,137855,1715716041,255015414,gps,0,0,34.815144759831,-82.32673365475924,281.84689158480614,"(0.9718734988243263, 0.0, 0.0, 0.0, 2.444179398085055, 0.0, 0.0, 0.0, 5.571633171967733)",2
2024/05/14/15:47:21.264213,137856,1715716041,264080627,gps,0,0,34.81514473783615,-82.326733650969,281.84323781821877,"(0.9741699186861297, 0.0, 0.0, 0.0, 2.452994071921367, 0.0, 0.0, 0.0, 5.662342073088666)",2
2024/05/14/15:47:21.285879,137857,1715716041,285625908,gps,0,0,34.81514473783615,-82.326733650969,281.84323781821877,"(0.9741699186861297, 0.0, 0.0, 0.0, 2.452994071921367, 0.0, 0.0, 0.0, 5.662342073088666)",2
2024/05/14/15:47:21.305040,137858,1715716041,304891954,gps,0,0,34.81514473783615,-82.326733650969,281.84323781821877,"(0.9741699186861297, 0.0, 0.0, 0.0, 2.452994071921367, 0.0, 0.0, 0.0, 5.662342073088666)",2
2024/05/14/15:47:21.324643,137859,1715716041,324521824,gps,0,0,34.81514473783615,-82.326733650969,281.84323781821877,"(0.9741699186861297, 0.0, 0.0, 0.0, 2.452994071921367, 0.0, 0.0, 0.0, 5.662342073088666)",2
2024/05/14/15:47:21.358526,137860,1715716041,358385586,gps,0,0,34.81514473783615,-82.326733650969,281.84323781821877,"(0.9741699186861297, 0.0, 0.0, 0.0, 2.452994071921367, 0.0, 0.0, 0.0, 5.662342073088666)",2
2024/05/14/15:47:21.366835,137861,1715716041,366730400,gps,0,0,34.81514467865228,-82.326733663372,281.85593059286475,"(0.9705301123131562, 0.0, 0.0, 0.0, 2.4336961530646164, 0.0, 0.0, 0.0, 5.519653677622273)",2
