time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:47:20.706843,119435,1715716040,705779575,,0.25200000405311584
2024/05/14/15:47:20.716114,119436,1715716040,715768071,,0.25200000405311584
2024/05/14/15:47:20.726162,119437,1715716040,725798250,,0.25200000405311584
2024/05/14/15:47:20.736130,119438,1715716040,735804736,,0.25200000405311584
2024/05/14/15:47:20.746204,119439,1715716040,745801156,,0.25200000405311584
2024/05/14/15:47:20.756530,119440,1715716040,755791586,,0.25200000405311584
2024/05/14/15:47:20.766217,119441,1715716040,765884579,,0.25200000405311584
2024/05/14/15:47:20.776194,119442,1715716040,775786624,,0.25200000405311584
2024/05/14/15:47:20.786212,119443,1715716040,785849738,,0.25200000405311584
2024/05/14/15:47:20.796073,119444,1715716040,795790708,,0.25200000405311584
2024/05/14/15:47:20.806804,119445,1715716040,805817553,,0.25200000405311584
2024/05/14/15:47:20.816199,119446,1715716040,815792880,,0.25200000405311584
2024/05/14/15:47:20.826134,119447,1715716040,825782938,,0.25200000405311584
2024/05/14/15:47:20.836411,119448,1715716040,835791193,,0.25200000405311584
2024/05/14/15:47:20.846091,119449,1715716040,845784678,,0.25200000405311584
2024/05/14/15:47:20.859406,119450,1715716040,855791705,,0.25200000405311584
2024/05/14/15:47:20.876483,119451,1715716040,865812235,,0.25200000405311584
2024/05/14/15:47:20.880729,119452,1715716040,876575372,,0.25200000405311584
2024/05/14/15:47:20.887658,119453,1715716040,885815414,,0.25200000405311584
2024/05/14/15:47:20.896165,119454,1715716040,895811559,,0.25200000405311584
2024/05/14/15:47:20.907705,119455,1715716040,905810932,,0.25200000405311584
2024/05/14/15:47:20.916262,119456,1715716040,915855978,,0.25200000405311584
2024/05/14/15:47:20.926154,119457,1715716040,925810741,,0.25200000405311584
2024/05/14/15:47:20.936177,119458,1715716040,935833220,,0.25200000405311584
2024/05/14/15:47:20.946119,119459,1715716040,945821883,,0.25200000405311584
2024/05/14/15:47:20.961694,119460,1715716040,955820400,,0.25200000405311584
2024/05/14/15:47:20.966209,119461,1715716040,965823776,,0.25200000405311584
2024/05/14/15:47:20.976149,119462,1715716040,975859449,,0.25200000405311584
2024/05/14/15:47:20.986221,119463,1715716040,985832026,,0.25200000405311584
2024/05/14/15:47:20.996060,119464,1715716040,995828217,,0.25200000405311584
2024/05/14/15:47:21.007449,119465,1715716041,5863482,,0.25200000405311584
2024/05/14/15:47:21.016091,119466,1715716041,15832614,,0.25200000405311584
2024/05/14/15:47:21.026203,119467,1715716041,25876961,,0.25200000405311584
2024/05/14/15:47:21.036277,119468,1715716041,35935950,,0.25200000405311584
2024/05/14/15:47:21.046232,119469,1715716041,45834999,,0.25200000405311584
2024/05/14/15:47:21.057406,119470,1715716041,55872425,,0.25200000405311584
2024/05/14/15:47:21.066203,119471,1715716041,65832550,,0.25200000405311584
2024/05/14/15:47:21.076168,119472,1715716041,75849374,,0.25200000405311584
2024/05/14/15:47:21.086174,119473,1715716041,85852171,,0.25200000405311584
2024/05/14/15:47:21.096126,119474,1715716041,95850181,,0.25200000405311584
2024/05/14/15:47:21.106256,119475,1715716041,105891702,,0.25200000405311584
2024/05/14/15:47:21.116229,119476,1715716041,115852461,,0.25200000405311584
2024/05/14/15:47:21.126148,119477,1715716041,125854904,,0.25200000405311584
2024/05/14/15:47:21.136186,119478,1715716041,135871505,,0.25200000405311584
2024/05/14/15:47:21.146260,119479,1715716041,145874644,,0.25200000405311584
2024/05/14/15:47:21.160021,119480,1715716041,155621607,,0.25200000405311584
2024/05/14/15:47:21.166051,119481,1715716041,165620609,,0.25200000405311584
2024/05/14/15:47:21.176066,119482,1715716041,175681014,,0.25200000405311584
2024/05/14/15:47:21.186040,119483,1715716041,185618299,,0.25200000405311584
2024/05/14/15:47:21.195986,119484,1715716041,195616315,,0.25200000405311584
2024/05/14/15:47:21.206879,119485,1715716041,205896221,,0.25200000405311584
2024/05/14/15:47:21.216003,119486,1715716041,215637996,,0.25200000405311584
2024/05/14/15:47:21.226012,119487,1715716041,225642856,,0.25200000405311584
2024/05/14/15:47:21.236026,119488,1715716041,235649988,,0.25200000405311584
2024/05/14/15:47:21.246132,119489,1715716041,245679500,,0.25200000405311584
2024/05/14/15:47:21.259440,119490,1715716041,255663447,,0.25200000405311584
2024/05/14/15:47:21.266210,119491,1715716041,265893396,,0.25200000405311584
2024/05/14/15:47:21.276031,119492,1715716041,275679394,,0.25200000405311584
2024/05/14/15:47:21.286086,119493,1715716041,285644352,,0.25200000405311584
2024/05/14/15:47:21.296011,119494,1715716041,295635048,,0.25200000405311584
2024/05/14/15:47:21.306020,119495,1715716041,305644429,,0.25200000405311584
